rating_score,critic_likes,critic_comments,movie_release_year,movie_popularity,total_number_of_lists,total_list_comments,total_list_followers,total_list_movie_number,avg_list_comments,avg_list_followers,avg_list_movie_number
4.0,0,0,1968.0,35.0,9,0,6,455,0.0,0.6666666666666666,50.55555555555556
4.0,0,0,1968.0,35.0,3,7,4,83,2.3333333333333335,1.3333333333333333,27.666666666666668
4.0,0,0,1968.0,35.0,10,1,2,140,0.1,0.2,14.0
4.0,0,0,1968.0,35.0,64,1,4,609,0.015625,0.0625,9.515625
4.0,0,0,1968.0,35.0,1,2,23,20,2.0,23.0,20.0
4.0,0,0,1968.0,35.0,2,0,0,13,0.0,0.0,6.5
5.0,0,0,1968.0,35.0,7,2,7,502,0.2857142857142857,1.0,71.71428571428571
4.0,0,0,1968.0,35.0,5,0,2,403,0.0,0.4,80.6
5.0,0,0,1968.0,35.0,2,0,2,44,0.0,1.0,22.0
3.0,0,0,1968.0,35.0,10,0,2,100,0.0,0.2,10.0
4.0,0,0,1968.0,35.0,54,10,18,2766,0.18518518518518517,0.3333333333333333,51.22222222222222
5.0,0,0,1968.0,35.0,1,0,2,56,0.0,2.0,56.0
5.0,0,0,1968.0,35.0,2,1,13,210,0.5,6.5,105.0
3.0,0,0,1968.0,35.0,2,0,1,150,0.0,0.5,75.0
4.0,0,0,1968.0,35.0,5,62,5304,3247,12.4,1060.8,649.4
5.0,0,0,1968.0,35.0,1,7,147,596,7.0,147.0,596.0
3.0,0,0,1968.0,35.0,2,1,0,48,0.5,0.0,24.0
4.0,0,0,1968.0,35.0,3,0,3,112,0.0,1.0,37.333333333333336
5.0,0,0,1968.0,35.0,13,1,15,701,0.07692307692307693,1.1538461538461537,53.92307692307692
5.0,0,0,1968.0,35.0,6,3,46,101,0.5,7.666666666666667,16.833333333333332
4.0,0,0,1968.0,35.0,13,25,422,1176,1.9230769230769231,32.46153846153846,90.46153846153847
4.0,0,0,1968.0,35.0,14,27,281,282,1.9285714285714286,20.071428571428573,20.142857142857142
4.0,0,0,1968.0,35.0,1,0,4,19,0.0,4.0,19.0
5.0,0,0,1968.0,35.0,4,2,10,375,0.5,2.5,93.75
4.0,0,0,1968.0,35.0,4,1,132,189,0.25,33.0,47.25
2.0,0,0,1968.0,35.0,3,0,1,59,0.0,0.3333333333333333,19.666666666666668
4.0,0,0,1968.0,35.0,5,1,14,119,0.2,2.8,23.8
3.0,0,0,1968.0,35.0,1,1,0,100,1.0,0.0,100.0
4.0,0,0,1968.0,35.0,1,5,0,100,5.0,0.0,100.0
4.0,0,0,1968.0,35.0,12,1,20,230,0.08333333333333333,1.6666666666666667,19.166666666666668
4.0,0,0,1968.0,35.0,1,4,0,21,4.0,0.0,21.0
